way_point.x,way_point.y,way_point.v,way_point.a
456870,4399698.215,0,0.721124785
456870.5,4399698.215,1.040041912,1.629685082
456871,4399698.215,1.650963624,1.942866836
456871.5,4399698.215,2.161883719,1.896727312
456872,4399698.215,2.562710507,1.699207115
456872.5,4399698.215,2.874880213,1.52412809
456873,4399698.215,3.128560856,1.363648351
456873.5,4399698.215,3.339266826,1.213493211
456874,4399698.215,3.516186768,1.07100363
456874.5,4399698.215,3.665254658,0.934375895
456875,4399698.215,3.790526654,0.802306287
456875.5,4399698.215,3.894881816,0.673803743
456876,4399698.215,3.98041184,0.548081963
456876.5,4399698.215,4.048652129,0.424492731
456877,4399698.215,4.100725081,0.302482111
456877.5,4399698.215,4.137431355,0.181559931
456878,4399698.215,4.159308261,0.061277159
456878.5,4399698.215,4.166665896,6.42E-06
456879,4399698.215,4.166666667,0
456879.5,4399698.215,4.166666667,0
456880,4399698.215,4.166666667,0
456880.5,4399698.215,4.166666667,0
456881,4399698.215,4.166666667,0
456881.5,4399698.215,4.166666667,0
456882,4399698.215,4.166666667,0
456882.5,4399698.215,4.166666667,0
456883,4399698.215,4.166666667,0
456883.5,4399698.215,4.166666667,0
456884,4399698.215,4.166666667,0
456884.5,4399698.215,4.166666667,0
456885,4399698.215,4.166666667,0
456885.5,4399698.215,4.166666667,0
456886,4399698.215,4.166666667,0
456886.5,4399698.215,4.166666667,0
456887,4399698.215,4.166666667,0
456887.5,4399698.215,4.166666667,0
456888,4399698.215,4.166666667,0
456888.5,4399698.215,4.166666667,0
456889,4399698.215,4.166666667,0
456889.5,4399698.215,4.166666667,0
456890,4399698.215,4.166666667,0
456890.5,4399698.215,4.166666667,0
456891,4399698.215,4.166666667,0
456891.5,4399698.215,4.166666667,0
456892,4399698.215,4.166666667,0
456892.5,4399698.215,4.166666667,0
456893,4399698.215,4.166666667,0
456893.5,4399698.215,4.166666667,0
456894,4399698.215,4.166666667,0
456894.5,4399698.215,4.166666667,0
456895,4399698.215,4.166666667,0
456895.5,4399698.215,4.166666667,0
456896,4399698.215,4.166666667,0
456896.5,4399698.215,4.166666667,0
456897,4399698.215,4.166666667,0
456897.5,4399698.215,4.166666667,0
456898,4399698.215,4.166666667,0
456898.5,4399698.215,4.166666667,0
456899,4399698.215,4.166666667,0
456899.5,4399698.215,4.166666667,0
456900,4399698.215,4.166666667,0
